"","TCGA-OR-A5K2-01A-11R-A29S-07","TCGA-OR-A5LN-01A-11R-A29S-07","TCGA-OR-A5JG-01A-11R-A29S-07","TCGA-OR-A5KX-01A-11R-A29S-07","TCGA-OR-A5LR-01A-11R-A29S-07","TCGA-OR-A5JI-01A-11R-A29S-07","TCGA-PK-A5HB-01A-11R-A29S-07","TCGA-OR-A5JK-01A-11R-A29S-07","TCGA-OU-A5PI-01A-12R-A29S-07","TCGA-OR-A5K5-01A-11R-A29S-07","TCGA-OR-A5L9-01A-11R-A29S-07","TCGA-OR-A5J1-01A-11R-A29S-07","TCGA-OR-A5JA-01A-11R-A29S-07","TCGA-OR-A5JO-01A-11R-A29S-07","TCGA-OR-A5K4-01A-11R-A29S-07","TCGA-OR-A5J2-01A-11R-A29S-07","TCGA-OR-A5JZ-01A-11R-A29S-07","TCGA-OR-A5LK-01A-11R-A29S-07","TCGA-OR-A5KO-01A-11R-A29S-07","TCGA-OR-A5JR-01A-11R-A29S-07","TCGA-OR-A5JC-01A-11R-A29S-07","TCGA-OR-A5J9-01A-11R-A29S-07","TCGA-OR-A5LH-01A-11R-A29S-07","TCGA-OR-A5LE-01A-11R-A29S-07","TCGA-OR-A5JB-01A-11R-A29S-07","TCGA-OR-A5L3-01A-11R-A29S-07","TCGA-OR-A5LL-01A-11R-A29S-07","TCGA-OR-A5LT-01A-11R-A29S-07","TCGA-OR-A5KU-01A-11R-A29S-07","TCGA-OR-A5K8-01A-11R-A29S-07","TCGA-OR-A5JD-01A-11R-A29S-07","TCGA-OR-A5L8-01A-11R-A29S-07","TCGA-PK-A5HA-01A-11R-A29S-07","TCGA-OR-A5JV-01A-11R-A29S-07","TCGA-OR-A5L4-01A-11R-A29S-07","TCGA-OR-A5KZ-01A-11R-A29S-07","TCGA-OR-A5JE-01A-11R-A29S-07","TCGA-OR-A5JT-01A-11R-A29S-07","TCGA-OR-A5K3-01A-11R-A29S-07","TCGA-OR-A5JL-01A-11R-A29S-07","TCGA-OR-A5J7-01A-11R-A29S-07","TCGA-OR-A5J8-01A-11R-A29S-07","TCGA-OR-A5LO-01A-11R-A29S-07","TCGA-OR-A5KV-01A-11R-A29S-07","TCGA-OR-A5L5-01A-11R-A29S-07","TCGA-OR-A5JX-01A-11R-A29S-07","TCGA-OR-A5LA-01A-11R-A29S-07","TCGA-OR-A5K0-01A-11R-A29S-07","TCGA-OR-A5JF-01A-11R-A29S-07","TCGA-OR-A5KT-01A-11R-A29S-07","TCGA-OR-A5LC-01A-11R-A29S-07","TCGA-OR-A5LP-01A-11R-A29S-07","TCGA-OR-A5LG-01A-11R-A29S-07","TCGA-OR-A5LB-01A-11R-A29S-07","TCGA-OR-A5LJ-01A-11R-A29S-07","TCGA-OR-A5LM-01A-11R-A29S-07","TCGA-OR-A5K9-01A-11R-A29S-07","TCGA-OR-A5L6-01A-11R-A29S-07","TCGA-OR-A5LS-01A-11R-A29S-07","TCGA-OR-A5J3-01A-11R-A29S-07","TCGA-OR-A5K1-01A-11R-A29S-07","TCGA-OR-A5JP-01A-11R-A29S-07","TCGA-OR-A5JQ-01A-11R-A29S-07","TCGA-P6-A5OG-01A-22R-A29S-07","TCGA-PK-A5H8-01A-11R-A29S-07","TCGA-OR-A5K6-01A-11R-A29S-07","TCGA-OR-A5KY-01A-11R-A29S-07","TCGA-OR-A5JW-01A-11R-A29S-07","TCGA-OR-A5KW-01A-11R-A29S-07","TCGA-PK-A5H9-01A-11R-A29S-07","TCGA-OR-A5JS-01A-11R-A29S-07","TCGA-OR-A5JJ-01A-11R-A29S-07","TCGA-OR-A5JM-01A-11R-A29S-07","TCGA-P6-A5OF-01A-11R-A29S-07","TCGA-PA-A5YG-01A-11R-A29S-07","TCGA-OR-A5JY-01A-31R-A29S-07","TCGA-OR-A5J5-01A-11R-A29S-07","TCGA-OR-A5LD-01A-11R-A29S-07","TCGA-OR-A5J6-01A-31R-A29S-07"
"LAS1L",656,1228,3047,1632,2032,1336,2664,2076,2225,1265,387,2129,3273,1647,4222,1840,2208,1153,3174,3131,2978,1952,2910,1139,2813,1041,1447,2367,1878,1114,2337,2070,2423,2489,2169,1160,1031,3329,1445,2649,1112,2148,3561,2532,3476,2886,1515,1767,4164,760,1941,3466,2929,3072,2947,2956,1248,682,1772,3562,1922,989,3199,2339,3295,2211,2470,2698,2817,1933,4282,4363,1070,3080,3468,1626,2947,789,881
"KDM1A",1853,673,2639,4420,1609,943,7007,1383,2494,2214,144,3903,3087,2475,2008,2594,1955,689,2304,2436,1788,4101,2318,2689,4697,549,1791,1334,1758,692,1649,4223,1906,1745,1542,3183,2573,3804,665,2327,2533,3814,3367,5148,2731,1804,1220,4014,3079,1203,1810,1808,1780,2664,2911,1526,2908,445,1287,2333,1529,4263,2495,4429,2104,2186,4036,2728,2333,4444,2223,3451,1932,2822,2176,3208,1502,869,1931
"MSL3",324,448,754,1193,723,440,1029,716,838,537,92,765,1010,1002,971,737,841,505,983,1697,816,1142,1117,538,1527,246,486,765,542,265,895,707,773,1278,493,680,471,889,304,854,912,1810,863,748,1191,715,448,775,1453,497,501,2163,814,974,1095,529,620,277,841,859,601,397,1206,2767,1041,857,824,1090,1211,1270,1016,1159,821,1378,1159,843,679,238,354
"CREBBP",1032,1223,3313,3724,2731,2169,4198,2206,4882,2376,374,2890,3172,2899,4725,6529,4529,848,5227,7068,2539,5825,2152,1968,2780,898,4062,1312,2059,1461,2164,6580,5819,4382,2545,2474,1680,5277,1177,3291,3696,4941,3479,2351,2897,4382,1694,2664,4425,1131,1843,5021,1676,2871,2519,2951,4295,780,2968,4428,2437,2881,4484,3315,4486,2837,4238,5753,3467,8848,3787,3695,2724,5539,4901,3166,4107,1357,1406
"KMT2E",640,1267,1430,2797,957,1029,3234,1726,2223,595,126,2503,2610,2081,1183,5624,1379,825,3536,2859,1245,3626,1769,2037,2515,640,2071,740,1491,1044,1235,3778,2013,2255,1876,1921,514,2077,631,2160,2631,2673,2613,2391,1462,2855,940,1601,2750,628,1080,2814,2873,3259,4124,1676,2656,562,1216,2519,1232,2102,2157,3700,2582,1032,2524,2897,2614,4087,2539,1749,1752,4236,2618,3272,1705,637,1420
"KDM7A",139,312,369,363,283,196,686,328,319,682,34,315,833,648,452,3345,384,276,452,767,258,331,630,160,680,102,383,152,515,143,479,306,451,448,279,207,80,520,172,636,189,1389,557,344,362,339,285,197,472,192,228,587,357,764,1673,492,271,112,253,757,378,443,479,579,386,257,392,743,368,1248,490,627,321,793,882,5907,326,40,272
"PAF1",3529,1687,7293,5064,1515,3497,6866,4506,4929,6711,275,12442,5425,3025,2263,3314,1597,1571,5407,3264,5828,12023,2858,3133,4437,2128,2056,3472,4285,2115,2948,8486,4559,2625,3673,4510,9926,2411,2336,2692,9416,4256,6513,10363,3222,6723,2047,5325,6414,1429,4808,4990,5024,5829,5329,6670,6828,1160,3509,4837,1803,9421,6963,3465,2743,5737,9575,5504,2475,3239,5640,5773,4926,5110,4033,3048,3564,2256,4326
"JARID2",559,249,501,902,428,265,1372,504,1044,1750,49,932,1010,642,447,1861,378,218,1607,605,695,2085,352,754,1280,297,630,269,449,154,258,1604,787,391,584,925,864,567,118,1623,2192,1265,1157,805,412,943,255,1181,1060,148,386,458,853,1236,1116,263,1592,144,361,592,253,676,509,1454,736,1010,944,1150,568,1532,1908,1346,3221,996,653,1741,579,474,850
"SS18L2",580,473,380,1022,237,450,449,494,349,727,101,1212,517,665,390,606,271,423,470,805,547,849,1028,596,797,516,351,424,392,202,929,464,622,796,344,528,896,447,263,608,867,976,466,948,705,840,591,825,578,519,560,443,1232,429,613,711,466,242,258,455,350,540,1135,1827,501,595,666,336,633,379,1209,541,739,463,527,516,455,350,601
"BAZ1B",1883,2563,6286,2230,2270,2562,8307,3659,7199,4179,279,4358,5660,3338,3403,10043,3491,1734,7327,7189,2453,8109,6375,3811,6442,1945,5308,1581,3814,1911,3946,8696,4453,5795,4271,4605,2245,6130,2391,5612,6527,6377,7116,4250,3318,3913,2884,4296,8596,1776,2938,11551,5015,7214,5754,3862,5693,794,3205,5697,3780,4016,6759,4427,4147,5161,6464,7976,6212,5262,8438,7505,4594,8425,7682,8094,2606,3306,2505
